,combined_text
1092,twoway radio supplies parts and accessories pn motorola radio
1093,lights emergency tomar remote sirenlight control all america sales see attached
1094,axe sngl bit complete whandle lb rc ln qty del pf bo del date material needed at webberville warehouse
1095,phonograph records sound tapes etc prepared cds baker taylor gf cds
1096,lid water meter for small round bx rc ln qty del pf bo del date material needed at awbsc
1097,valve gate di flange mech jt in rc lnqty delpfbodel date material needed at wbsc
1098,application software microcomputer green building program webbased document project management application june thru june buyer art acuna software and services
1099,vaccines boxes mmr mmr ii mmr all sdv merck vaccines boxes diluent mmr sterile merck vaccines mmr vaccine and diluent
1100,bushing brass x in rc ln qty del pf bodel date delivery date shall be no later than fortiline material for awgbsc
1101,radio frequency scanner receivers and amplifiers installation rfid detection system model rfid
1102,microcomputers handheld laptop and notebook quote public health precisions workstation public health precisions workstation
1103,arms mast base cast aluminum breakaway for use on poles access door and vandal resistant fastener with tool fastener shall be stainless steel overall height each base shall be furnished with od x id x thick steel washers and x idx thick steel washers and x stm bolts with hex head nuts grade h lock washers and flat washers for connecting pole to base hardware shall be packaged separately and shipped with each base base shal be manufactured per ae drawing top is slotted dia bolt hole circle and bottom is slotted diameter bolt hole circle bolt pattern on qualified products list kramer jit idle stock review per tbreeding dkokas kramer idle stock reviewremove per breedingkokas generated by reorder pm
1104,engines and parts helicopter each screw part no american eurocopter helicopter parts
1105,emulsions asphalt ergon
1106,work stations modular systems furniture abf quote dated office furniture
1107,pole line hardware anchors arms bolts braces plate pole eye ductile iron hot dipped galvanized for wood poles lbs ultimate strength on qualified products list critical materials supply arrangement
1108,projection devices and accessories enviromentally certified grayprojector
1109,conduit and fittings aluminum connector transformer tank grounding solid to stranded bronze shall accommodate unbroken ground wires side loading on qualified products list cross reference note replaces bill g critical materials supply arrangement
1110,lights emergency corners fr total fronts takedowns rear work warning digital cable tomar lectronics see attached
1111,ethanol sun coast contract
1112,pipe pvc water pc psi rc ln qty del pf bo del date material needed at awbwsc
1113,hypochlorite sodium for control of slime and alg dessau river place and harris branch bleach
1114,antennas and accessories radio only brackets m antenna mhz n male connector uv stable polycarbonate base rated for outdoor use molded makrolon polycarbonate base radiator is stainless steel rod with chrome finish nickel plated brass bushing used with item capacitor control timetempvoltcurrentkvar generated by reorder pm
1115,power supplies computer room ml power supply vac powermaticswalnutcreek
1116,diesel fuel motor fuel ultra low sulfur diesel biodiesel sun coast october
1117,epi auto injector adult dose epipen epinephrine injection autoinjector adult dose dey laboratories medical supplies
1118,conduit polyvinyl chloride sch rigid in coupling pvc degree angle inch for eb and db conduit with one belled end in accordance with nema latest edition on qualified products list generated by reorder pm
1119,gun grease multiload no c rc ln qty del pf bodel date delivery date shall be no later than grainger material for awwbsc
1120,rescue equipment supplies and accessories includi pr wildland gear for cadet class buyboard item helmet wildland yellow full brim ratchet suspension nfpa qty item wfb goggle ess wildfire antifog antiscratch qty item protector earneckface nomex with fr cotton lining shroud for bullard wildland helmet qty item chinstrap wildland nomex quickrelease qty ea item coat osx wildland indura cotton with lazermax yellow size large qty item coat osx wildland indura cotton with lazermax yellow qty item coat osx wildland indura cotton with lazermax yellow size med qty item coat osx wildland indura cotton with lazermax yellow size xl qty item coat osx wildland indura cotton with lazermax size large tall qty freight reference quote pr wildland gear for cadet class buyboard
1121,wiring devices adapters caps connectors extens connector aluminum vise type extended range aa to aa each connector shall be prefilled with corrosion inhibitor on qualified products list replaces csn critical materials supply arrangement
1122,office supplies general pr quote various cubicle parts attn eddie martinez cubicle parts
1123,nails box cement coated staples ground mounding x x hot dip galvanized rolled point on qualified products list critical materials supply arrangement
1124,emulsions asphalt ergon asphalt and
1125,pole line hardware anchors arms bolts braces arm static hot dip galvanized steel ft on qualified products list kramer idle stock reviewinsurance per weisebreedingkokas generated by reorder am
1126,blades asphaltconcrete cutting diamond tipped diamond blade warehousetyler blades
1127,tape insulating electrical tape high voltage linerless rubber inch x foot roll use as per oem specifications brand only other manufacturers type will void switchgear warranty pn ae to use brand only other brands willvoid entry rolls per box must meet specification manufacturer pn generated by reorder am
1128,reflective sheeting pressure sensitive type black yds acrylic filmtransparentelectronically cuttablenon perforatedpressure sensitivegroup reflective sheeting sign material purchase off ma for a total amount of ship to jessie st austintx call anthony serrano hours prior reflective sheeting sign material
1129,twoway radio supplies parts and accessories motorola connector mini uhf rz communications see attached
1130,irrigation systems supplies parts and accessori weathermatic nozzles irrigation parts for abia max po
1131,torch cutting heat gun files torch head truck copeland
1132,tools and supplies strappingbundling lumber expansion joint chamfer ranger hats hammer ace contractorconcretelumber expansion joint chamfer
1133,reducer brass x in rc ln qty del pf bo del date material needed at awgbsc
1134,trouser uniform cotton nfpa men plain pockets fire shirts and pants special shirts
1135,street lighting luminaires accessories and parts repair to electrical outletsblk
1136,pliers linemans side cutting in rc ln qty del pf bo del date materials needed at glen bell warehouse
1137,relays electronic darralyn buyer part number sel reference relays
1138,rusch slick set endotracheal tube rusch slick set rusch flexiset endotrachael tube with stylet inside cuffed sterile mm inside diameter in length sterile latex free single use color coded stylet each per box rusch medical part number or buyer approved equivalent medical supplies
1139,video and audio systems accessories parts closed circuit shells as per anixter quote terms and conditions governed by debora anderson buyer i shells
1140,pole line hardware anchors arms bolts braces anchor bolts
1141,hydraulic pumps hand and motor driven power unit power equipment for
1142,readymix concrete ready mix concrete
1143,diphtheria tetanus toxoids pertussis vaccine tpass contract tdap vaccines
1144,trousers uniform cotton nfpa womens plain pockets fire blue shirts and ladies pants
1145,coupling brass comp gj x comp gj in rc ln qty del pf bo del date material needed at awgbsc
1146,conduit steel liquidtite flexible splice compression full tension aluminum body prefilled with inhibitor for mcm strand all aluminum conductor on qualified products list critical materials supply arrangement
1147,janitorial supplies general line octdec gulf coast supplies bsd sites octdec gulf coast supplies bsd sites
1148,letteringretroreflective limeyellow ems paramedic blauer jackets
1149,hat safety full brim rc ln qty del pf bo del date material needed at wbsc
1150,emulsions asphalt ergon
1151,parts and accessories domestic water treatment oring bunan replacement parts for chem feed equipdavis wtp
1152,logging devices electronic longrange data colle odalog hydrogen sulfide gas data logger hydrogen sulfide data loggersjeff betts
1153,microphones and related equipment chestsets earp model supraplus monural toppart no plantronics headsets other equipment and accessories at off plantronic gsa schedule headsets
1154,paint spray marking fluorescent red inverted can rc ln qty del pf bo del date material needed at wbsc
1155,uniforms cotton keara becerra uniform
1156,clothing athletic casual dress uniform wthr work youth soccer and coaches shirts glidan youth oz t shirt glidan oz jersey polo total youth soccer shirts and coaches shirts
1157,compound pipe joint screw pipe pt can rc ln qty del pf bo del date materials needed at glen bell warehouse
1158,clamps channel galvanized steel heavywall condu st elmo crawford
1159,sand and gravel material s industrial loads gem sandsz sm gem sandjohnsonj
1160,ethanol sun coast contract
1161,hardware accessories mounts patches plates sea ems toughbooks ems toughbooks
1162,application software microcomputer mobility enterprise for ios mobility license maintanence
1163,telephone switching pbx systems voip phones for code compliance at rbj
1164,wheel cutter rigid no standard thin rc ln qty del pf bo del date material needed at awgbsc
1165,top sheet top sheets ea per case per telecon with lynn at sss stretcher sheets
1166,chemicals bulk not otherwise itemized liquid sulfur dioxide ton cylinders cylinders deliver to walnut creek wwtp fm austin tx delivery date thursday for walnut creek
1167,trophies plaques awards etc not otherwise cla ae regional science fest awards order item column trphy marble columnlamp of knowledge placesf logo rightae logo leftsee attached ae regional science fest trophies
1168,shoes safety toe red wingsafety steel toe boots
1169,modular panel systems with metal connecting mech cushiondomino seat turnston austin ridge furniture rockford
1170,twoway radio supplies parts and accessories toro mower radio parts stock
1171,janitorial supplies general line broom push soft hair wo handle in generated by reorder am
1172,emulsions asphalt ergon
1173,gloves work mechanic synthetic leather sz xlarge rc ln qty del pf bo del date material needed at wbsc
1174,guns stun nonlethal xppm battery pack item at each taser equipment and accessories
1175,rain suit hooded woveralls yellow rc lnqty delpfbodel date material needed at awwbsc
1176,emulsions asphalt ergon asphalt and
1177,antennas and accessories amplifiers brackets ma wave ant titanium gray tessco see attached
1178,adult ambu spur oxygen resusictator per cs medical supplies
1179,exhaust system clamps exhaust pipes mufflers t parts for walkbehind airlesco
1180,monitors color and monochrome environmentally certified court
1181,network components adapter cards bridges connec req zilker pedistal req code compliance rbj floor
1182,hook arm grabber inch rc ln qty del pf bo del date material needed at gbsc
1183,links renewal for ren and res fuses fuse refill unit for switchgear amp holder fuse refill unit amp slow speed for pad mounted switchgear with sc type fuse holder on qpl replaces ae pn per ae fusing policy maintain as insurance per ae fusing policy critical materials supply arrangement
1184,irrigation systems supplies parts and accessori weathermatic spray heads weathermatic spray heads max
1185,adult adjustable c collar each per case ccollar adult ambu item number medical supplies
1186,impact tools air powered not road building propress elbow x copper pipe fittings
1187,clothing trousers supv and uniform mens edwards blazer single breasted poly style size sample sets of dark navy blazers for event security personne
1188,soap hand pumice bottle rc ln qty del pf bo del date materials needed at webberville warehouse
1189,concrete readymix sprinkle sub row eddie dodd yards class a concrete yards class a concrete
1190,deflectors vent air conditioner direct couples actuator
1191,ld needle set ezio large adult needle ezio needle sets yellow needle sets ezconnects wrist bands ld needle set ezio large adult needle ga needle mm in length constructed of steel with patented cutting tip marked with a black line mm from the hub sealed in plastic tray with two sharps blocks and includes ezconnectaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa and a wristband packaged and sold each per box vidacare part number ezio supplies
1192,cable power type xlpe cable power aluminum a wg conductor xlpe insulation full neutral per specification on qpl reel shall be nonreturnable wood with pressed in metal hub or greater arbor hole steel plate hubs are not accepted max flange measurement and max outside to outside measurement foot age shall be ft or begin stocking per new dcs on critical materials supply arrangement
1193,corportion stop compression ballcorp brass gj rc ln qty del pf bo del date material needed at awgbsc
1194,asphaltic concrete hot mix in accordance with it apacvarioius sectionshot mix all types
1195,shirt uniform ls apd navy sz x shirts short and long sleeve for cadet class
1196,ties spool kramer pmn
1197,beverages welectrolyte riptide rush gatorade rc ln qty del pf bo del date material needed at wbsc
1198,pharmaceuticals veterinary animal drugs vaccin pfizer pahrmaceuticals and vaccinesfelomune fvr c in revolution clavamox albon rimadyl and temarilp payment for pfizer vet products
1199,washers steel washers round galvanized all sizes on qualified products list critical materials supply arrangement
1200,automotive accessories for automobiles buses tru sun coast contract
1201,boots steel toe hip waders size rc ln qty del pf bo del date material needed at wbsc
1202,cargo handling restraints l tack gun hose tack hose
1203,battery penlite size aa battery penlite size aa hercules rayovac pn alaa generated by reorder am
1204,braces cross arm st elmo
1205,filters air conditioningfurnace disposable type air conditioning and heating equipment replacement filters for abia x x hvac filters for abia max po pr
1206,splices wirecable compression splice kv awg aluminum with cold shrink jacket diameter range of kit supplied with compression connector compression connector and neutrals connector on qualified products list do not purchase prysmianpirelli due to quality issues per standards department dp critical materials supply arrangement
1207,straps tie down ratchet w u hook rc ln qty del pf bo del date material needed at awgbsc
1208,threaded rod and studs techline kramer
1209,application software microcomputer orion network performance monitor v version upgrade license plus year maintenance orion network perofrmance monitor license yr maint
1210,helmets safety firefighter including accessorie msa cairns commando defender buyboard helmets
1211,cable type xlp st elmo techline
1212,shovel scoop steel blade size x inch wood d handle rc ln qty del pf bo del date material needed at wbsc
1213,hardness control chemicals chelating agents phos fluoride deliveries to water treatment plant number fluorosilicic acid for davis and ullrich wwtp and water plant fluoride deliveries to water treatment plant number
1214,coupling galv air hose in female rc lnqty delpfbodel date msc materials needed for webberville warehouse
1215,sand and gravel this is a contract for river rock to be delivered to locations within the austin water utility and picked up at the contractors location rock
1216,paint spray aerosol dressing tree wound ounce aerosol can on qualified products list generated by reorder am
1217,microcomputers desktop lapt top dell precision as per dell quote all terms and conditions governed by debora andeson buyer i laptop and e port
1218,triangular bandage non sterile x x with saf triangular bandage nonsterile dimensions x x adi medical item number medical supplies
1219,paints traffic mfg part no wb yel tx fast dry availalbe in gal pail gal drum or gallon tote totes may be partially filled at gallon price traffic paintmarkings
1220,lubricants industrial type dte bb super cylinder oil oil
1221,lubricant pipe gal container rc ln qty del pf bo del date material needed at wbsc
1222,nameplates plastic desk holder silver name plates and holders
1223,lights emergency whelen vertex flange kit black gt distributors see attached
1224,twoway radio supplies parts and accessories motorola assykitctrl hd end rem assy apx rz communications see attached
1225,parts and accessories flowmeter system laboratory chemicals for eas lab laboratory chemicals for eas lab
1226,transformer parts and accessories bag transformer oil containment used for leaking transformers oil bag to fit thru pole mount tranformers bag shall have adjustable builtin draw strings at top and middle of bag bag shall fit transformer while mounted on pole with side slit and velcro closure to allow bag to fit around mounting brackets bag shall have plastic hangers at the top of the bag to temporarily attach bag to transformer lugs oil selective pads shall be placed in the bottom of bag to soak up leaking fluids bag shall be made of minimum mils polyethylene each andax pn or equal keep as insurance per greg ishee critical materials supply arrangement
1227,socket set in drive thru in rc ln qty del pf bodel date grainger material for awgbsc
1228,short wheelbase twoand fourwheel drive vehicle suv patrol wraps ford explorer apd units buyboard apd vehicles
1229,grass sod sod necessary to repair morris williams putting greens from june storm damage need to repair greens as soon as possible to reopen of tifdwarf bermudagrass sod is needed to repair putting green storm damage at morris williams golf course sod will be picked up from sod farm by city staff contact chris dry refer to quote for details block tifdwarf bermudagrass sod total sod necessary to repair morris williams putting greens
1230,masimoinfant disp sensor sensor infant weight kg adhesive sensors ft single patient use packaged each per box latex free nonsterile compatible with physio monitor masimo part number defib supplies
1231,valve ball bronze stemchrome plated brass bal rc ln qty del pf bodel date delivery date shall be no later than grainger material for awwbsc
1232,network components adapter cards bridges connec apc switched rack pdu power distribution unit quote contract hardware
1233,asphalt cleaner liquid asphalt release agent
1234,pallets for transporting cement products returnable generated by reorder pm
1235,transformers power distribution incl fluid fill transformer distribution single phase pole mount doe volt wire hv bushings with tank mounted arrester spec dated replaces critical materials supply arrangement
1236,fiber optics cables interconnecting components a various site locations various site locations
1237,trees ornamental and shade mitigation trees
1238,reflective safety apparel and accessories see over pants olympia airglide size black olympia airglide
1239,toner microfilm readerprinter bimode traccards
1240,cloths wash disposable chlorascrub swab wipes pdi item number medical supplies
1241,conduit steel galvanized flexible liquid tight st elmo
1242,impact tools air powered not road building insulated firefighter boots and rain gear c felipa insulated firefighter boots and rain gear c felipa
1243,microcomputers handheld laptop and notebook eco certifie with docking stations campos olaptops accessories
1244,samsling ii size xsmall sam pelvic sling xsmall sam medical item number medical supplies emergency patient care for stock
1245,anhydrous ammonia anhydrous ammonia
1246,belt nylon back support wshoulder straps lrg rc ln qty del pf bo del date material needed at wbsc
1247,braces cross arm support insulator cable rack insul on qualified products list critical materials supply arrangement
1248,janitorial supplies general line rlc supplies sept order of soap toilet tissue towels cleaner
1249,fencing temporary for construction and other ind construction
1250,janitorial supplies general line feb purchase of towels
1251,cords extension electrical clamp ground fence post in od to cu wire clamp
1252,structural supports and racks mechanical type an clamp line stirrup bronze body with copper loop for through mcm copper conductor clamping length on qualified products list critical materials supply arrangement
1253,rods anchor pole attachment galvanized steel rod anchor triple eye hot dipped galvanized rolled thread made to eei specifications x on qualified products list critical materials supply arrangement
1254,cable power type xlpe cable power aluminum a wg conductor xlpe mil insulation full neutral per specification latest revision on qpl reel shall be nonreturnable wood with pressed in metal hub inch arbor hole this dimension must be maintained even with the use of the pressed in metal hub steel plate hubs are not accepted max flange measurement and max outside to outside measurement foot age shall be ft or critical materials supply arrangement cmsa
1255,network components adapter cards bridges connec router bundle steven kennemerwater distribution control systemawu
1256,insulators and parts pole line pin insulator fneck above arm long shank by dia nylon threads with lock washer and nut on qualified products list order stock refurbish only nylon thread pins critical materials supply arrangement
1257,microcomputers handheld laptop and notebook quote apd dell lithiumion battery apd replacement battery for cold case laptop
1258,pipe polyethylene hdpe inch rc ln qty del pf bo del date material needed at wbsc
1259,chemicals laboratory acs cp practical reagent laboratory chemicals for eas laboratory chemicals for eas
1260,clothing athletic casual dress uniform wthr work quote dtd includes embroidery setup fee and shipping mens port authority ladies port authority prices sxl x x xl x embroidery includes three different arr logos service finance qa customer service black fleece jackets
1261,motors electric misc warner electric clutchbrake frame rpm watts warner electric clutch brake
1262,hat safety cap style whead gear ear muffs rc ln qty del pf bo del date material needed at awgbsc
1263,laboratory supplies per price agreement idexx testing reagents and supplies laboratory chemicals for wql
1264,trucks pickup ton apd buyboard light duty pkggrapevine dodge chrysler
1265,trousers tactical poly rayon mens tactical hem pants
1266,telephone systems stations electronic key cable assy rhs telephones required in conference room
1267,connectors split bolt type connector split bolt for stranded copper on qualified products list remove from decker per vance zimmerman dkokas critical materials supply arrangement cmsa
1268,insecticide wasp aerosol rc ln qty del pf bo del date msc keep stock for glen bell warehouse
1269,metal finders and detectors pipe locators etc garrett atpro metal detector sku alternate mfr various items used by crime scene unit
1270,tapping machines and equipment hydraulic hammerincluding installation testing and calibration hydralic hammerj muraida
1271,meters watthour meter kwh connectdisconnect v wire form socket class additional features meter cover equipped with manual disconnect switch and optical port approved brands landis gyr supliers power supply techline irby kbstec pmn critical materials supply arrangement
1272,extinguisher fire wbracket lb extinguisher fire wbracket lb with wall bracket badger buckeye or buyer approved equal mfg product no aaa fire
1273,tools electricians and linemans including cabl ruf rod series diameter the ruf rod is one of the most popular sizes because of its versatility in both small and medium size ducts it is the smallest of the wheel frames yet still well under ft in height or length so easy to store or load onto your truck although dcd only recommends lengths up to ft the standard cage will hold up to ft the longer lengths should only be used in smaller ducts up to and when there are few bends the standard unit includes a female rod end a swivel rod end and a pulling eye the deluxe version includes accessories as listed below all accessories that attach to the rod can be glued on in the traditional manner or they can be clamped on with set screws or they can be glued and screwed for extra security model ft lb duct rodder ft
1274,cable power type xlpe cable power aluminum awg conductor xlpe insulation neutral per specification on qpl reduced neutral only reel shall be nonreturnable wood with pressed in metal hub or greater arbor hole steel plate hubs are not accepted hole max flange measurement shall be and max outside to outside measurement purchasing footage shall be ft or begin stocking per new dcs on critical materials supply arrangement
1275,impact tools air powered not road building belts for sar stock bearings belts for sar stock
1276,impact tools air powered not road building msc industrial supply
1277,transformers power distribution incl fluid fill transformer padmounted phase feed thru switch dead front kva in accordance with specification on qualified products list generated by reorder am
1278,manholes and manhole covers frames grates ring precast concrete manholes
1279,conduit steel galvanized flexible liquid tight splice full tension automatic preloaded with inhibitor on qualified products list critical materials supply arrangement
1280,microcomputers handheld laptop and notebook macpro mini final cut server ethernet pci express macpro mini final cut server ethernet pci express
1281,cable type abam wire mcm acss drake as per spec critical materials supply arrangement
1282,books field engineering nlc training modules
1283,air conditioners commercial and parts and access cmc edward glidewell emergency po for the chiller repair at the macc trane macc repair svs eglidewell
1284,citation issuance devices and supplies ecitation milestone panavise mounting bracket for patrol cars ecitation
1285,computer accessories and supplies dell active pen quote laptops acc
1286,hose flex for grease gun in rc ln qty del pf bo del date materials needed at glen bell warehouse
1287,hyd part adapter str nipple swivel solid wswivel rc ln qty del pf bo del date material needed at awgbsc
1288,flexible base tons of road basegbsc road base
1289,wire and cable electronic audio coaxial hooku tnc pvc blk ul csa awm rohs aniter see attached
1290,pole line hardware anchors arms bolts braces bracket mounting transformer clamp type phase aluminum for through kva on qualified products list critical materials supply arrangement
1291,letters and numerals sign to include logos numbers adhesive per pkg size wide x tall engineer grade reflective vinyl yellow on black number generated by reorder am
1292,smart pads ll defibrillator pads philips item smart pads ii defibrillator pads each includes pads for philips model frx aed used for both adult and pediatric or philips electronics north american part number item aed battery and pads for r slagle
1293,ethanol sun coast
1294,welding and industrial gases acetylene argon ca rental cyl ind large acetylene argon and oxygen for meter shop rental cyl ind large acetylene
1295,alignment parts and access front end ford ori front end alignment for
1296,clothing trousers supv and uniform galls fleece jackets model blk sm med lg xl and ship to coa material management total fleece jackets sxl fleece jackets for afd cadets
1297,shovel round dhandle inch rc ln qty del pf bo del date grainger webberville weekly keep stock scan
1298,kit infection control personal protection unit rc lnqty delpfbodel date material needed at awgbsc
1299,filters air conditioningfurnace disposable type filters
1300,computer accessories and supplies netscaler sfp enet short netscaler equipment
1301,padlock combination long shackle rc ln qty del pf bo del date material needed at wbsc
1302,led light emitting diode traffic signal yellow yellow incandescent led per attached city of austin spec incandescentsignals
1303,arresters lightning station class surge arrester mcov underhung mount arresters underhung winchester cutin
1304,battery flashlight size d rc ln qty delpf bodel date delivery date shall be no later than msc material for awwbsc
1305,dead end hardware electrical deadend formed wire copperweld diameter range in inches from to holding strength lbs color code may vary on qpl critical materials supply arrangement
1306,pillows disposable item disposable pillows
1307,adltped filterline set adltped filterline set airway adapter set oridion item number medical supplies emergency patient care for stock
1308,stamps custom arrest stamp each self inking stamp order
1309,structural supports and racks mechanical type an clamp line stirrup bronze body with copper loop for through mcm copper conductor clamping length on qualified products list critical materials supply arrangement
1310,water distilled deionized water service for process lab deionized water services for process lab
1311,fiber optics cables interconnecting components a fiber optic installationspicewood springs iron rustic fiber optic installationspicewood springs iron rustic
1312,shirt uniform ls apd navy sz x apd long sleeves
1313,expendable medical supply per price agreement medical supplies medical supplies
1314,clothing athletic casual dress uniform wthr work master agreement for pard for various sizes style of tshirt and caps ea item tshirts ea ea item tshirts ea ea item jersey sportshirts ea quote quote date salesperson is kyle shaw pard contact person is clay shelton tshirts sportshirts
1315,adapter pvc sched in pvc to in fipt rc ln qty del pf bo del date material needed at glen bell warehouse
1316,terbutaline sulfact injection brethine terbutaline sulfate injection single dose vial bedford laboratories ndc medical supplies emergency patient care for stock
1317,conduit and fittings aluminum connector transformer secondary disconnectable stud with outlets cable range to mcm with streetlight option for wire and seethru insulated cover with inhibitor on qualified products list critical materials supply arrangement
1318,network components adapter cards bridges connec enclosure with compatible poe interface wcat surge protection south service center access poins and installation for public wifi
1319,braces cross arm arm deadend fiberglass inch wide x inch deep x appx foot longgray lbs minimum per phase uv inhibitors added throughout wadditional uv coating on outside of arm to prevent blooming breakdown of fiberglass integrity arms filled wa high density closed cell expandable foam crossarm tested per arms wmin distance between outside phases deadend attachments to be eyebolts pin holes mounting brackets have keyhole on top slot on bottom mounting holes on centers wtop at from top of slot center mount wa dual guy attachment with holes rated at lb min per hole the crossarm shall have a maximum allowable deflection of inches per pounds manufacturing per qpl replaces wood deadend arm csn per distribution construction standards committee critical materials supply arrangement cmsa
1320,sheds storage rentalpurchase of storage containers rental of storage park rangers contract mobile mini park rangers monthly rental
1321,tape electrical tape electrical allweather vinyl inch x ft mils thick ul listed on qualified products list must meet specification manufacturer scotch pn super generated by reorder pm
1322,hose garden in ft long rc ln qty del pf bo del date material needed at awgbsc
1323,sewer inspection equipment
1324,transformers power distribution incl fluid fill buyer annie cannon xfmr dist auto line part st elmo inventory stock per bid specs transformer distribution
1325,cap baseball mesh coa rc ln qty del pf bo del date material needed at wbsc
1326,parts and accessories traffic signal misc invoice hex nut npsm thread gpllouver full circ visor
1327,raincoat pvcnylon wdet hood lime green in long xl rc ln qty del pf bo del date material needed at awgbsc
1328,parts and accessories domestic water treatment valve pvc ball hyp kit parts and accessories domestic water treatment
1329,hyd part mue bottom barrel in rc ln qty del pf bo del date material needed at gbsc
1330,cutter pvc ratcheting in to rc ln qty del pf bodel date delivery date shall be no later than grainger material for awgbsc
1331,shirt t ash ls size large rc ln qty del pf bo del date material needed at wbsc
1332,fire alarm systems power sirens and controls inspection maintenance repair andor installation of fire alarm and fire suppression systems citywide oct alarm monitoring fleet services
1333,offset printing duplicating and lithographing ma additional brochuresmusic for kids
1334,souvenirs promotional advertising etc color white imprint black logo promotional items for austin outreach events
1335,grass seed reveg materials isreal
1336,pistol grips nozzle inserts keg egg nozzle parts for css field crews
1337,poles creosote treated kramer lufkin creosoting
1338,expendable items ea blower motor ea blower motor ea valve cover ea freeze plug kit ea tractor air filter ea tractor air filter ea vacuum cap ea oil abs fuller ea az carb cleaner ea chevron delco oil ea bypass cap ea vacuum cap ea control knob ea peak back up ea xtravision headlights ea clear rtv silicon ea xtravision headlights ea l garden battery ea long life bulbs ea long life bulb ea long life bulbs ea az brake parts cleaner auto parts for shop pms
1339,twoway radio supplies parts and accessories battery cartridge su estimated lead time weeks tessco see attached
1340,impact tools air powered not road building rotary hammer drill bits and john ford home depotweldingframing square rafter square
1341,lugs compression type and soldering type lug compression for mcm copper cable two holes in tongue space apart maximum width of tongue shall be able to mount side by side on a hole nema pad on qpl critical materials supply arrangement
1342,boards back ems backboard lime green backboard lime green emergency patient care for stock
1343,conduit steel flexible greenfield type connector compressor service inches long loop hysplice for acsr bare neutral messenger splice to be filled with inhibitor and the ends covered with color coded caps on qualified products list critical materials supply arrangement
1344,poles embedded steel pole steel galvanized per spec ft length change commodity group and commodity code from to dkokas eofy replaces
1345,accessories for laptop computer premium passenger side mount package for chevrolet tahoe gmc yukon gts technology solutions
1346,pants slacks trousers shorts jeans etc performance polo charcoal gray size extra large blue abia logo wflying a in gold opsec embriodery in gold above logo shirts pants shorts for security opsec
1347,shoes safety toe lehighinv
1348,microcomputers desktop or towerbased workstation library
1349,monitoring equipment gas data loggers for collection systems
1350,finish floor non buffing indust ty gal con rc ln qty del pf bo del date material needed atr awbsc
1351,cable guy steel st elmo
1352,ferric sulfate ferric sulfate
1353,markers plaques placards and tablets dedication read number aluminum die cut number size shall be inches tall inches wide and inches thick tag shall be an aluminum character generated by reorder pm
1354,sand and gravel flex base for drying bed ramps
1355,electric fence controllers and accessories build and install fencing to match exisiting
1356,welding and industrial gases acetylene argon ca industrial gases for awudemurrage charges for may industrial gases for awu construction rehab equip repair
1357,x protectiv plus safety catheter medex protectiv plus safety i v catheters size x pink smiths medical item number medical supplies
1358,beverage electrolyte gatorade powder stick orange rcqty delpfbodel date material needed at gbsc
1359,fall protection equipment and accessories for the climbing belt
1360,wire bare aluminum wire awg strand all aluminum aac hard drawn bare class aa concentric lay ltranded aluminum conductors code name oxlip purchasing ft per reel reel shall be nonreturnable wood with pressed in metal hub or greater arbor hole steel plate hubs are not accepted max flange measurement and max outside to outside measurement on qpl maintain as insurance stock for distribution construction per gilbert sanchez insur stk review critical materials supply arrangement
1361,uniforms blended fabric servicewear appareluniforms
1362,lights emergency soundoff ghost surface mount led lone star products
1363,poles aluminum pole decorative for led post top luminaries bronze town lake per specification ae stock no approved manufacturers amerlux pn clb manufacturer acuitypn reading way wo
1364,shoes safety toe safety shoes for kathryn murray safety shoes for kathryn murray
1365,uniforms blended fabric uniform rentallaundry litter abatement uniform rentallaundrylitter abatement
1366,conduit fittings steel boxes bushings clamps conduit flexible water tight inch moisture and oil proof pvc jacket over galvanized flexible conduit type uluv resistantul listed foot roll on qualified products list generated by reorder am
1367,conduit steel galvanized flexible liquid tight splice full tension automatic preloaded with inhibitor aac strand arbutus on qualified products list critical materials supply arrangement
1368,concrete readymix high early strength concrete ready mix concrete
1369,water drinking including distilled cold hot water coolers each drinking water service
1370,protector ear muff type nr rating rc ln qty del pf bo del date material needed at wbsc
1371,freight and cargo containers shipping see class metzmonthly rental mobile
1372,clothing athletic casual dress uniform wthr work master agreement for pard for various sizes style of tshirt and caps per quote order order tshirts
1373,trouser uniform cotton nfpa men plain pockets afd stock replenishment
1374,cable type xlp with neutralbrenaulinked polyethylene insulated urd type maximum conductor operating tempera ture is degrees celsius in wet or dry applications on qualified products list reel shall be nonreturnable wood max flange measurement and max outside to outside width measurement purchasing footage shall be ft critical materials supply arrangement
1375,books library ingram books cip
1376,manholes and manhole covers frames grates ring ring for manhole inches traffic type ductile iron in accordance with astm and electric department drawing must meet aashto latest revision on qpl generated by reorder pm
1377,fire alarm systems power sirens and controls this equipment shall be provide in accordance with simplexgrinnell quote submitted by dwain deiterman on txmas contract may clean smoke detectors samc wo
1378,impact tools air powered not road building thermal pens mfg part each each graingerchart recorderassys
1379,sanitizer instant hand pump bottle rc lnqty delpfbodel date material needed at wbsc
1380,oxygen for medical use medical grade oxygen refill units medical grade oxygen refills and replacement cylinders
1381,stone rip rap item no in diameter tons item no in diameter tons item no in diameter tons item no in diameter tons item no in diameter tons two projects roy g guerrero park and little walnut creek
